Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Discounted Price,Order Date,Month_Year,Month-Year
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,0.16,261.96,2018-01-01 00:00:00.000000000,2018-01,2018-01
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,0.3,731.94,2018-01-01 04:23:25.934242181,2018-01,2018-01
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,0.47,14.62,2018-01-01 08:46:51.868484362,2018-01,2018-01
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,-0.4,526.67,2018-01-01 13:10:17.802726543,2018-01,2018-01
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,0.11,17.89,2018-01-01 17:33:43.736968724,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,0.29,48.86,2018-01-01 21:57:09.671210906,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,0.27,7.28,2018-01-02 02:20:35.605453087,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,0.1,725.72,2018-01-02 06:44:01.539695268,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,0.31,14.8,2018-01-02 11:07:27.473937449,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,0.3,114.9,2018-01-02 15:30:53.408179631,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,0.05,1364.95,2018-01-02 19:54:19.342421812,2018-01,2018-01
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,0.08,729.14,2018-01-03 00:17:45.276663993,2018-01,2018-01
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,0.35,12.44,2018-01-03 04:41:11.210906174,2018-01,2018-01
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,0.32,326.38,2018-01-03 09:04:37.145148356,2018-01,2018-01
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,-1.8,13.76,2018-01-03 13:28:03.079390537,2018-01,2018-01
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,-1.5,0.51,2018-01-03 17:51:29.013632718,2018-01,2018-01
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,0.02,665.88,2018-01-03 22:14:54.947874899,2018-01,2018-01
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,0.18,55.5,2018-01-04 02:38:20.882117081,2018-01,2018-01
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,0.29,8.56,2018-01-04 07:01:46.816359262,2018-01,2018-01
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,0.08,170.78,2018-01-04 11:25:12.750601443,2018-01,2018-01
